App,Package,Start Time,Duration,Filename
"<System>",,"Sep 3, 2013 @ 11:34:02 AM","4 min 27 sec","Trepn_2013.09.03_113402.db"

Time  [ms],"Percent Battery Remaining [%]",Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"CPU Load [%]",Time  [ms],"Normalized CPU Load [%]",Time  [ms],"CPU0 - Frequency [kHz]",Time  [ms],"CPU1 - Frequency [kHz]",Time  [ms],"Application State",Description,
51,24,20,0,55,216745,53,50,51,12,53,1026000,27,1512000,28,0,,
146,24,124,0,151,52031,148,81,146,36,149,1512000,124,1458000,125,0,,
227,24,221,0,231,657930,228,35,226,19,229,1512000,222,1026000,222,0,,
344,24,322,0,355,143517,352,42,343,14,353,1026000,323,1026000,324,0,,
638,24,602,0,643,0,640,0,638,22,641,1026000,603,1026000,604,0,,
652,24,644,0,657,0,654,50,651,27,654,1026000,644,1026000,645,0,,
686,24,657,0,691,0,688,42,685,8,689,1026000,658,1026000,658,0,,
745,24,735,0,750,0,747,35,745,15,748,1026000,736,1026000,736,0,,
847,24,835,0,867,0,862,0,846,12,865,1026000,836,1026000,837,0,,
944,24,936,0,948,0,945,43,943,16,946,1026000,937,1026000,937,0,,
1059,24,1049,0,1065,0,1062,50,1058,16,1063,1026000,1050,1026000,1050,0,,
1159,24,1149,0,1166,0,1163,52,1159,16,1164,1026000,1150,1026000,1151,0,,
1257,24,1250,0,1266,0,1262,30,1257,11,1263,1026000,1251,1026000,1251,0,,
1359,24,1351,0,1364,0,1361,38,1358,13,1362,1026000,1352,1026000,1352,0,,
1664,24,1657,0,1669,0,1666,64,1664,22,1667,1026000,1658,1026000,1658,0,,
1679,24,1670,0,1684,0,1681,33,1679,16,1682,1026000,1671,1026000,1671,0,,
1712,24,1685,0,1718,0,1714,85,1711,25,1714,1026000,1686,1026000,1686,0,,
1763,24,1756,0,1768,0,1765,40,1762,16,1765,1026000,1757,1026000,1757,0,,
1868,24,1857,0,1892,0,1889,38,1867,10,1890,1026000,1858,1026000,1859,0,,
1965,24,1958,0,1971,0,1967,40,1965,15,1969,1026000,1959,1026000,1959,0,,
2074,24,2058,0,2081,47482,2077,69,2074,21,2078,1512000,2060,594000,2060,0,,
2172,24,2159,0,2182,0,2176,56,2171,17,2178,918000,2160,486000,2161,0,,
2266,24,2259,0,2279,0,2271,43,2265,13,2277,1512000,2260,1512000,2260,0,,
2372,24,2360,0,2380,216548,2374,0,2372,31,2375,1134000,2360,1512000,2360,0,,
2683,24,2674,0,2688,1547393,2685,0,2683,39,2686,1512000,2675,1512000,2675,0,,
2701,24,2689,0,2707,1488646,2704,57,2701,50,2704,1512000,2689,1512000,2690,0,,
2718,24,2707,0,2741,18602,2735,46,2717,28,2739,1458000,2707,1512000,2708,0,,
2776,24,2762,0,2781,41599,2778,25,2776,17,2779,1026000,2763,1242000,2763,0,,
2901,24,2864,0,2907,0,2904,0,2900,9,2905,1026000,2865,1026000,2866,0,,
2976,24,2966,0,2984,215523,2980,0,2976,11,2981,1026000,2967,1026000,2967,0,,
3082,24,3068,0,3104,0,3084,72,3079,22,3088,1026000,3069,1026000,3069,0,,
3175,24,3168,0,3178,170015,3176,0,3174,37,3176,1512000,3169,1512000,3169,0,,
3282,24,3269,0,3287,254672,3284,37,3281,19,3285,1512000,3270,1512000,3270,0,,
3378,24,3369,0,3383,707142,3380,35,3377,18,3381,1026000,3370,1026000,3370,0,,
3646,24,3640,0,3650,932258,3648,59,3646,28,3648,1512000,3641,1512000,3641,0,,
3663,24,3650,0,3675,344733,3672,60,3662,25,3673,1512000,3651,1512000,3651,0,,
3681,24,3675,0,3685,789319,3682,57,3681,43,3683,1512000,3676,1512000,3676,0,,
3784,24,3773,0,3791,39808,3786,24,3783,12,3787,1026000,3774,1026000,3774,0,,
3881,24,3873,0,3886,479967,3883,0,3881,16,3884,1026000,3874,1026000,3875,0,,
3981,24,3974,0,3992,0,3989,36,3980,11,3989,1026000,3974,1026000,3975,0,,
4083,24,4074,0,4089,0,4085,61,4082,19,4086,1026000,4075,1026000,4076,0,,
4180,24,4175,0,4187,0,4184,27,4180,12,4185,1512000,4175,1026000,4176,0,,
4280,24,4275,0,4283,0,4281,26,4279,12,4281,1512000,4275,1026000,4276,0,,
4383,24,4376,0,4392,0,4389,25,4382,9,4390,1026000,4376,1026000,4377,0,,
4674,24,4660,0,4680,0,4676,68,4674,23,4677,1026000,4662,1026000,4662,0,,
4697,24,4680,0,4702,0,4699,75,4697,19,4700,1026000,4681,1026000,4681,0,,
4710,24,4703,0,4715,0,4712,66,4710,25,4713,1026000,4703,1026000,4704,0,,
4790,24,4780,0,4814,0,4811,33,4789,8,4812,1026000,4781,1026000,4781,0,,
4887,24,4880,0,4893,0,4890,25,4887,11,4890,1026000,4881,1026000,4881,0,,
4990,24,4981,0,4996,0,4992,29,4990,6,4993,1026000,4981,1026000,4982,0,,
5088,24,5081,0,5094,0,5091,50,5088,17,5092,1026000,5082,1026000,5082,0,,
5150,24,5150,0,5193,0,5190,42,5187,16,5191,1512000,5182,1026000,5182,0,,
5187,24,5181,0,5293,0,5290,31,5289,13,5291,1512000,5284,1026000,5285,0,,
5289,24,5284,0,5414,0,5408,18,5395,1,5410,384000,5384,1026000,5384,0,,
5396,24,5383,0,5687,12759,5685,71,5682,21,5686,1512000,5677,1512000,5677,0,,
5682,24,5676,0,5708,54028,5706,75,5701,25,5706,1512000,5688,1512000,5689,0,,
5704,24,5688,0,5718,5088,5716,50,5714,41,5716,918000,5709,1512000,5709,0,,
5714,24,5708,0,5820,0,5815,33,5805,8,5817,384000,5790,1026000,5791,0,,
5807,24,5789,0,5914,0,5910,38,5905,12,5911,384000,5890,1512000,5891,0,,
5906,24,5889,0,6014,0,6009,21,6001,2,6011,384000,5990,1512000,5992,0,,
6006,24,5989,0,6113,0,6110,75,6101,15,6111,1512000,6091,1512000,6092,0,,
6102,24,6090,0,6199,0,6197,33,6195,16,6197,1512000,6191,384000,6191,0,,
6195,24,6190,0,6306,346122,6302,47,6299,12,6304,1512000,6292,1512000,6292,0,,
6301,24,6291,0,6402,83077,6399,66,6397,33,6400,1026000,6392,1458000,6392,0,,
6398,24,6392,0,6666,1702559,6663,0,6660,35,6664,1512000,6650,1512000,6650,0,,
6662,24,6649,0,6687,1647141,6685,33,6682,50,6685,1512000,6667,1512000,6667,0,,
6682,24,6666,0,6726,532813,6722,37,6702,31,6724,1512000,6695,1512000,6695,0,,
6703,24,6694,0,6805,942894,6803,0,6801,29,6803,1512000,6795,1512000,6796,0,,
6801,24,6795,0,6926,756232,6924,35,6908,20,6924,1134000,6896,1026000,6896,0,,
6910,24,6895,0,7006,1328878,7003,55,7002,32,7004,1026000,6996,1026000,6996,0,,
7002,24,6995,0,7133,1065753,7129,64,7102,39,7130,1512000,7096,1512000,7097,0,,
7102,24,7096,0,7215,500519,7211,0,7208,39,7212,1512000,7199,1026000,7199,0,,
7208,24,7198,0,7325,786336,7322,55,7321,44,7323,1512000,7299,1512000,7299,0,,
7321,24,7298,0,7428,446295,7423,47,7415,48,7425,1512000,7400,1026000,7401,0,,
7416,24,7399,0,7750,469930,7747,62,7743,41,7748,1026000,7725,1026000,7726,0,,
7744,24,7724,0,7779,0,7775,58,7772,34,7777,1026000,7752,1026000,7752,0,,
7773,24,7751,0,7830,0,7827,47,7823,16,7828,1026000,7780,1026000,7781,0,,
7824,24,7780,0,7850,147293,7846,57,7842,20,7847,1026000,7832,1026000,7832,0,,
7842,24,7831,0,7976,0,7971,34,7966,12,7972,1026000,7908,1026000,7909,0,,
7967,24,7906,0,8040,0,8035,0,8031,10,8037,1026000,8008,1026000,8009,0,,
8032,24,8007,0,8132,0,8128,57,8123,23,8129,1026000,8109,1026000,8110,0,,
8124,24,8108,0,8237,0,8232,31,8227,12,8233,1026000,8210,1026000,8211,0,,
8228,24,8209,0,8323,0,8319,0,8317,12,8320,1026000,8311,1026000,8311,0,,
8318,24,8309,0,8432,0,8429,35,8417,10,8430,1026000,8411,1026000,8412,0,,
8418,24,8410,0,8729,291898,8726,0,8724,33,8727,1026000,8694,1242000,8695,0,,
8724,24,8694,0,8742,325962,8739,50,8737,36,8740,1026000,8730,1242000,8731,0,,
8737,24,8730,0,8770,725747,8767,28,8765,0,8768,1026000,8743,1026000,8744,0,,
8765,24,8743,0,8784,751362,8782,50,8780,27,8783,1026000,8772,1026000,8772,0,,
8781,24,8771,0,8892,659071,8889,7,8877,2,8889,1026000,8867,1026000,8867,0,,
8878,24,8866,0,8986,0,8979,0,8974,7,8981,1026000,8967,1026000,8968,0,,
8974,24,8967,0,9093,0,9085,35,9083,7,9086,1026000,9068,1026000,9068,0,,
9083,24,9067,0,9187,0,9184,0,9178,27,9184,1026000,9168,1512000,9169,0,,
9178,24,9167,0,9280,0,9277,7,9275,3,9278,1026000,9268,1512000,9269,0,,
9276,24,9268,0,9383,0,9380,0,9378,8,9381,1026000,9369,1026000,9369,0,,
9378,24,9368,0,9735,0,9732,54,9730,18,9733,1026000,9724,1026000,9724,0,,
